x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,y,id
0.113703411,8.376339152,-7.719253828,0.963599363,0.825366512,4.51559324,0.350091886,2.729768865,0.671222285,-8.904289178,-0.825144206,0.046783818,0.749642166,-1.197298299,5.105315935,-7.153886715,3.055661262,-7.220529998,1.968288389,31.39249081,0.850445264,-0.171410804,35.38513633,29.67226415,15.54497913,-18.51763571,1
0.622299405,4.874662508,-6.155836033,0.206762383,3.575498125,5.033066873,0.323055818,67.90323842,1.858203979,-9.532581901,0.347168217,-0.409803325,1.44575969,-1.449592285,0.049369942,3.13096678,10.20285736,-8.215533108,0.14916036,21.18381869,0.468604508,2.171091126,21.88773061,12.95079177,1.877763334,49.62051228,2
0.609274733,1.103369994,2.369413828,0.086197441,2.301592811,8.230772616,0.696393404,18.9966334,0.831619791,-7.605212804,-0.920092945,-2.0988032,-1.752152312,-3.699484858,-4.553467584,2.681643143,1.185553061,1.688240219,0.107903936,-17.89520837,0.156008091,0.033161629,-22.80763638,-26.42317211,17.36294713,58.65263524,3
0.623379442,3.513630184,1.98118642,0.21602802,3.19235125,7.924594996,0.248066345,91.90279257,3.07515832,-8.876181254,-0.287336466,0.033778205,3.128137882,1.583038391,-10.64051075,1.187066762,0.70181946,0.998203808,1.513742877,3.138827391,1.189297676,3.20758458,-1.563935965,10.2811399,-7.686085694,83.56089902,4
0.860915384,7.610630367,-8.762311521,0.239646551,2.279566199,4.558572351,0.620960443,52.36634549,1.691549389,2.202519585,-0.551130292,-0.6126858,4.153630795,1.125659187,-14.01676658,6.690003168,8.730523874,-8.283383767,-0.70919803,-0.581762953,0.823572034,0.295315474,-14.21416656,-16.92423637,-14.14506706,-13.17111316,5
0.640310605,3.896648437,3.985070349,0.197160936,4.736985625,8.303784478,0.573395002,69.50778039,3.20824678,2.88924761,0.84864564,0.323803349,-0.504792795,3.23763878,-5.664786853,-1.334075483,-2.196430819,5.439742893,-0.075522377,5.276192668,-0.545623112,5.397697904,-2.595777451,14.09419924,5.25415498,90.42110303,6
0.009495756,4.565140037,4.748133556,0.28900824,4.417037619,6.335466998,0.967053719,36.16188627,3.889273011,-9.552216821,1.303513003,-1.034829453,-0.889936019,7.211763513,-3.078537079,-8.479480491,5.85312582,1.480628919,0.878254516,30.45506312,1.510591526,-0.167956599,25.62697246,35.65034993,-6.532065851,129.6669908,7
0.232550506,1.073442558,-9.534699828,0.804114407,3.887535915,6.505662777,0.885270549,83.05434575,3.453031409,-4.316414095,-0.528633316,0.786696478,4.155909229,-2.484387973,0.628498777,-0.301715899,2.567226897,-7.86234376,-0.425069469,48.81204741,0.187919074,4.973874886,53.02644702,37.35899062,8.787835234,185.1862736,8
0.666083758,9.626749167,5.179142002,0.378249638,0.244362309,4.105887782,0.944465275,76.79279339,3.034353797,-7.374732981,0.762950659,3.856585583,0.651739755,4.802869068,0.644001043,-1.044317656,13.12088899,2.693474142,-0.25360726,-27.68018372,0.13278823,3.792104999,-28.2765467,-22.78998945,11.79491836,152.6965679,9
0.514251141,9.880968605,-2.756566238,0.912817219,3.195952133,9.484654627,0.835260796,81.57126561,0.985746541,-7.945305385,1.790310432,-0.157902755,0.44209388,-6.243706308,-1.974902886,0.865430383,8.655059223,-3.577055006,-0.19759684,-6.729233128,3.144261789,2.963977966,-7.657749427,-16.06165814,-8.591782027,-16.5041956,10
